Province|Municipality|Address|Landline|Fax|Email|||||
|Provincial Government of Zamboanga del Norte|Provincial Capitol, 7100 Dipolog City, Zamboanga del Norte|Tel: (065) 212-3563 ; (065) 212-3161|(065) 212-3563||||||
Zamboanga del Norte|Municipality of Bacungan (Leon B. Postigo)||Tel.: (065) 224-2051; 0919-6304222|||||||
Zamboanga del Norte|Municipality of Baliguian||Tel.: 0935-9115392|| meobalsn9@yahoo.com|||||
Zamboanga del Norte|Dapitan City ||Tel.: (065) 908-8403 loc 212; 0929-1941972||rjalosjos_cmo@hotmail.com|||||
Zamboanga del Norte|Dipolog City (Capital)||Tel.: (065) 212-2484; (065) 212-3432 ; (065) 212-2498||evelynuy@yahoo.com|||||
Zamboanga del Norte|Municipality of Godod||Tel.: 0930-6339692||Gododzamboangadelnorte@yahoo.com|||||
Zamboanga del Norte|Municipality of Gutalac|||| jun.coma@yahoo.com|||||
Zamboanga del Norte|Municipality of Jose Dalman||||rachelferrater@yahoo.com|||||
Zamboanga del Norte|Municipality of Kalawit||Tel.: 0908-2845422|| E-baililing54@yahoo.com|||||
Zamboanga del Norte|Municipality of Katipunan||Tel.: (065) 212-9497; 0920-7925496|||||||
Zamboanga del Norte|Municipality of La Libertad||Tel.: 0920-9219705||romeomejias@yahoo.com|||||
Zamboanga del Norte|Municipality of Labason||Tel.: 0917-3148576||quimbo_eddie@yahoo.com|||||
Zamboanga del Norte|Municipality of Liloy||Tel.: 0921-4441531||fbolando@yahoo.com|||||
Zamboanga del Norte|Municipality of Manukan||Tel.: (065) 311-6106; (065) 3116110; 0927-6437433||lgumanukan-zn@yahoo.com|||||
Zamboanga del Norte|Municipality of Mutia||Tel.: 0949-3622282|||||||
Zamboanga del Norte|Municipality of Piñan||Tel.: 0920-4735584;  (085) 212-3900|| josebelleno@gmail.com|||||
Zamboanga del Norte|Municipality of Polanco||Tel.: 0908-8656533; (065) 213-5545||pinpin_uy@yahoo.com|||||
Zamboanga del Norte|Municipality of Pres. Manuel A. Roxas||Tel.: 0920-9668119; (065) 311-1262||janvallecer@yahoo.com|||||
Zamboanga del Norte|Municipality of Rizal||Tel.: 0917-7241632||rosellermanigsaca@gmail.com|||||
Zamboanga del Norte|Municipality of Salug||Tel.: (065) 311-1020; 0916-8592772||lgu_salug@yahoo.com|||||
