,Title,LastName,Name,Position,Email,Agency,MailingAddress1,MailingAddress2,Email Address,Contact Number,Fax,Website,,,Email Tracking Status,Document URL,Data Merge Id,Data Merge Status
1,Secretary,Paje,Ramon Jesus P. Paje,Secretary,osec@denr.gov.ph,Department of Environment and Natural Resources,"DENR Bldg., Visayas Avenue, ","Diliman, Quezon City 1100",osec@denr.gov.ph,929-6626; 988-3367 Trunkline,,,,,,https://drive.google.com/a/dream.upd.edu.ph/file/d/0B1JdBADBT1tTaGJ4ODdQV2pGaTg/view?usp=drivesdk,,Done
2,Secretary,De Los Reyes,Virgilio R. De Los Reyes,Secretary,secgildar@gmail.com,Department of Agrarian Reform,Elliptical Road,"Diliman, Quezon City 1100",secretary@dar.gov.ph,928-7033 to 37 Trunkline,,,,,,https://drive.google.com/a/dream.upd.edu.ph/file/d/0B1JdBADBT1tTQnh0LTk2TXBTUDQ/view?usp=drivesdk,,Done
3,Secretary,Gazmin,Voltaire T. Gazmin,Secretary,osec301@gmail.com,Department of National Defense,"Camp General Emilio Aguinaldo, Quezon City","Epifanio de los Santos Ave (at Col. Bonny Serrano Ave.), 1110 Quezon City, Quezon City, Philippines",,982-5600,,,,,,https://drive.google.com/a/dream.upd.edu.ph/file/d/0B1JdBADBT1tTd3J4bWVLakxNTTQ/view?usp=drivesdk,,Done
4,Secretary,Alcala,Proceso J. Alcala,Secretary,"procyalcala@gmail.com
spja_osec@yahoo.com
spja_osec@da.gov.ph",Department of Agriculture,Elliptical Road,"Diliman, Quezon City 1100",rocyalcala@gmail.com; spja_osec@yahoo.com; spja_osec@da.gov.ph,928-8762 to 65 Trunkline,,,,,,https://drive.google.com/a/dream.upd.edu.ph/file/d/0B1JdBADBT1tTYnRJZEw0N1Ezbms/view?usp=drivesdk,,Done
Bureaus of DA,,,,,,,,,,,,,,Done,,https://drive.google.com/a/dream.upd.edu.ph/file/d/0B1JdBADBT1tTVXRma1VKMG11alk/view?usp=drivesdk,,Done
5,Director,Saliot,"Asterio P. Saliot, Ceso III",Director,"apsaliot@ati.da.gov.ph,apsaliot@ymail.com",Agricultural Training Institute (ATI),"2/F ATI Bldg., Elliptical Road","Diliman, Quezon City 1100",ati_director@ati.da.gov.ph; apsaliot@yahoo.com; apsaliot@ati.da.gov.ph,Tel.: (02) 928-7397; 0928-504-9718,Fax: 920-9792,,,,,https://drive.google.com/a/dream.upd.edu.ph/file/d/0B1JdBADBT1tTWWdkc05RVDhSV3M/view?usp=drivesdk,,Done
6,Director,Roscom,Karen Kristine A. Roscom,OIC-Executive Director,bafpsda@yahoo.com.ph,Bureau of Agriculture and Fisheries Products Standards (BAFPS),"BPI Compound, Visayas Avenue","Diliman, Quezon City 1100",bafpsda@yahoo.com.ph,Tel.: 920-6131 to 33,Fax: (02) 920-6134,,,,,https://drive.google.com/a/dream.upd.edu.ph/file/d/0B1JdBADBT1tTVVBFTE03Sno0T0k/view?usp=drivesdk,,Done
7,Director,Eleazar,Nicomedes P. Eleazar,Director,"neleazar@bar.gov.ph
od@bar.gov.ph",Bureau of Agricultural Research (BAR),"RDMIC Bldg., Elliptical Road cor. Visayas Ave., ","Diliman, Quezon City 1100",neleazar@bar.gov.ph; od@bar.gov.ph,Tel.: 926-2538; 0918-919-8108,Fax: 926-2538,,,,,https://drive.google.com/a/dream.upd.edu.ph/file/d/0B1JdBADBT1tTQkxqaldFWWQxTVk/view?usp=drivesdk,,Done
8,Director,Recide,Romeo S. Recide,Director,rsrecide@moscom.com,Bureau of Agricultural Statistics (BAS),"1184 Ben-Lor Bldg., Quezon Avenue, Quezon City",,rsrecide@moscom.com,Tel.: (02) 371-2050; 0917-898-2468,Fax: 371-2086,,,,,https://drive.google.com/a/dream.upd.edu.ph/file/d/0B1JdBADBT1tTb3VXWWRlZnlJdkk/view?usp=drivesdk,,Done
9,Director,Cresencio,Dr. Rubina O. Cresencio,Acting Director,BAI_Dir@yahoo.com,Bureau of Animal Industry (BAI),Visayas Avenue,"Diliman, Quezon City 1100",BAI_Dir@yahoo.com,Tel.: 928-2429,Fax: 928-2429,,,,,https://drive.google.com/a/dream.upd.edu.ph/file/d/0B1JdBADBT1tTQmdpUFZVUFY3NGM/view?usp=drivesdk,,Done
10,Director,Barron,Clarito M. Barron,Assistant Secretary and OIC-Director,litobarron@yahoo.com,Bureau of Plant Industry (BPI),"San Andres, Malate, Manila",,litobarron@yahoo.com,Tel.: 525-2987,Fax: 521-7650,,,,,https://drive.google.com/a/dream.upd.edu.ph/file/d/0B1JdBADBT1tTaHhUUEo1SnczTDA/view?usp=drivesdk,,Done
11,Director,Tejada,Silvino Q. Tejada,Director,"silvinotejada@yahoo.com.ph
bwsm@pworld.net.ph",Bureau of Soils and Water Management (BSWM),"Visayas Avenue cor. Elliptical Road, ","Diliman, Quezon City 1100",silvinotejada@yahoo.com.ph; bswm@pworld.net.ph,Tel.: (02) 923-0462; 0921-381-4680,Fax: 920-4318,,,,,https://drive.google.com/a/dream.upd.edu.ph/file/d/0B1JdBADBT1tTeXVOWlAtSW9DcTA/view?usp=drivesdk,,Done
12,Director,Perez,Atty. Asis G. Perez,Bureau Director,"asisperez@yahoo.com
perezasis@yahoo.com",Bureau of Fisheries and Aquatic Resources (BFAR),"PCA Compound, Elliptical Road","Diliman, Quezon City 1100",asisperez@yahoo.com; perezasis@yahoo.com,Tel.: (02) 929-5859; (02) 929-9597; 0917-550-2424,Fax: 929-8074 (TF),,,,,https://drive.google.com/a/dream.upd.edu.ph/file/d/0B1JdBADBT1tTeHJaVHRWc2FwVms/view?usp=drivesdk,,Done
Attached Agencies of DA,,,,,,,,,,,,,,Done,,https://drive.google.com/a/dream.upd.edu.ph/file/d/0B1JdBADBT1tTZ1ZuUHA3RU5vZFE/view?usp=drivesdk,,Done
13,Director,Corpuz,Jovita M. Corpuz,Executive Director,jmcorpuz@pacific.net.ph; jmcorpuz@acpc.gov.ph; acpc@manila_online.net,Agricultural Credit Policy Council,"28/F One San Miguel Ave., Bldg. I, ","San Miguel Ave. cor. Shaw Blvd., Pasig City",jmcorpuz@pacific.net.ph; jmcorpuz@acpc.gov.ph; acpc@manila_online.net,Tel.: (02) 636-3390; 0917-827-2180,Fax: 634-3319; 634-3320,,,,,https://drive.google.com/a/dream.upd.edu.ph/file/d/0B1JdBADBT1tTX3o5bXVxTGtIcHc/view?usp=drivesdk,,Done
14,Director,Orpia,Eugenio D. Orpia Jr.,Administrator,cottondev@yahoo.com; coda_ho2003@yahoo.com,Cotton Development Administration,"G/F Rm. 100, ATI Bldg., Elliptical Rd., ","Diliman, Quezon City 1100",cottondev@yahoo.com; coda_ho2003@yahoo.com,Tel.: (02) 920-8878; 0917-527-5510,Fax: 920-9238,,,,,https://drive.google.com/a/dream.upd.edu.ph/file/d/0B1JdBADBT1tTbVduQUlTU2pNbXc/view?usp=drivesdk,,Done
15,Director,Gicana,Norlito R. Gicana,Executive Director,fpa_77@yahoo.com,Fertilizer and Pesticide Authority,"BAI Compound, Visayas Avenue","Diliman, Quezon City 1100",,Tel.: (02) 920-8173 TF,Email: fpa_77@yahoo.com,,,,,https://drive.google.com/a/dream.upd.edu.ph/file/d/0B1JdBADBT1tTRXRCSWRhMmFnZDg/view?usp=drivesdk,,Done
16,Director,Holoyohoy,Eduardo B. Holoyohoy,OIC-Executive Director,fida@pldtdsl.net; fida@yahoo.com,Philippine Fiber Industry Development Authority,"Asiatrust Bank, Annex Bldg.","1424 Quezon Ave., Quezon City",fida@pldtdsl.net; fida@yahoo.com,Tel.: (632) 388-0586; 372-8664; 373-7489,Fax: (632) 373-7494 (TF),,,,,https://drive.google.com/a/dream.upd.edu.ph/file/d/0B1JdBADBT1tTOWVMM2lOZjRxODQ/view?usp=drivesdk,,Done
17,Director,Jarmin,Manuel R. Jarmin,Acting Executive Director,livestock@netasia.net,Livestock Development Council,"DA Compound, Elliptical Road","Diliman, Quezon City 1100",livestock@netasia.net,Tel.: 428-1134; 0920-920-9676; 0917-848-1134,Fax: (02) 929-6066; 426-7554,,,,,https://drive.google.com/a/dream.upd.edu.ph/file/d/0B1JdBADBT1tTaEM3bnFIN01XXzA/view?usp=drivesdk,,Done
18,Director,Cayanan,Engr. Ariel T. Cayanan,Executive Director,nafc_exec@da.gov.ph; rlplcayanan@yahoo.com,National Agricultural and Fishery Council,"NAFC Apacible Hall, DA Compound, Elliptical Road","Diliman, Quezon City 1100",nafc_exec@da.gov.ph; rlplcayanan@yahoo.com,Tel.: (632) 920-4309; 926-2706 loc. 2601,Fax: (02) 924-3361,,,,,https://drive.google.com/a/dream.upd.edu.ph/file/d/0B1JdBADBT1tTaVl1QTJaYllwbk0/view?usp=drivesdk,,Done
19,Director,Manantan,Minda S. Manantan,Executive Director,nmis@da.gov.ph; nmis@nmis.gov.ph,National Meat Inspection Service,"BAI Compound, Visayas Avenue","Diliman, Quezon City 1100",nmis@da.gov.ph; nmis@nmis.gov.ph,Tel.: (02) 924-3118,Fax: (02) 924-7973,,,,,https://drive.google.com/a/dream.upd.edu.ph/file/d/0B1JdBADBT1tTT0xjbUgtQkxpS1U/view?usp=drivesdk,,Done
20,Director,Del Barrio,Dr. Arnel N. Del Barrio,OIC-Executive Director,pcc-oed@moscom.com; oed@pcc.gov.ph; pcc_oed@mozcom.com,Philippine Carabao Center,National Headquarters and Gene Pool ,"Science City of Muñoz, Nueva Ecija",pcc-oed@moscom.com; oed@pcc.gov.ph; pcc_oed@mozcom.com,Tel.: (s) (044) 456-0731 to 34,Fax: (044) 456-0730 TF,Main Office: 456-5238,,,,https://drive.google.com/a/dream.upd.edu.ph/file/d/0B1JdBADBT1tTTE5XeDYtMlZXZVk/view?usp=drivesdk,,Done
21,Director,Bingabing,Rex L. Bingabing,Executive Director,rek_lb2000@yahoo.com,Philippine Center for Postharvest Development and Mechanization,CLSU Compound,"Science City of Muñoz, Nueva Ecija",rek_lb2000@yahoo.com,Tel.: (044) 456-0243 loc. 282; 0916-383-7364,Fax: (044) 456-0110,Manila Office: (02) 927-4029; (02) 926-8159 F,,,,https://drive.google.com/a/dream.upd.edu.ph/file/d/0B1JdBADBT1tTeHBzSXQyeW5DRFk/view?usp=drivesdk,,Done
